page," condition"," name"," HRTF"," Reverb"," SampleVolume"," HeadPhoneEQ",EarTrack," HeadTrack"," SamplePos",SourceType," Real",
1,1,A,personal,calibrated,calibrated,equalized,ear,head,0,noise,virtual,
1,2,B,none,calibrated,calibrated,none,ear,head,0,noise,virtual,
1,3,C,personal,none,calibrated,equalized,ear,head,0,noise,virtual,
1,4,D,personal,calibrated,+5,equalized,ear,head,0,noise,virtual,
1,5,E,kemar,large,+5,none,ear,head,0,noise,virtual,
1,6,F,none,none,calibrated,none,ear,head,0,noise,virtual,
1,7,G,personal,large,calibrated,equalized,ear,head,0,noise,virtual,
1,8,H,kemar,calibrated,calibrated,equalized,ear,head,0,noise,virtual,
1,9,I,personal,calibrated,+5,none,ear,head,0,noise,virtual,
2,1,J,personal,calibrated,calibrated,none,ear,head,0,noise,virtual,
2,2,K,personal,large,calibrated,none,ear,head,0,noise,virtual,
2,3,L,personal,large,+5,equalized,ear,head,0,noise,virtual,
2,4,M,personal,large,+5,none,ear,head,0,noise,virtual,
2,5,N,personal,none,calibrated,none,ear,head,0,noise,virtual,
2,6,O,personal,none,+5,equalized,ear,head,0,noise,virtual,
2,7,P,personal,none,+5,none,ear,head,0,noise,virtual,
2,8,Q,kemar,calibrated,calibrated,none,ear,head,0,noise,virtual,
2,9,R,kemar,calibrated,+5,equalized,ear,head,0,noise,virtual,
3,1,S,kemar,calibrated,+5,none,ear,head,0,noise,virtual,
3,2,T,kemar,large,calibrated,equalized,ear,head,0,noise,virtual,
3,3,U,kemar,large,calibrated,none,ear,head,0,noise,virtual,
3,4,V,kemar,large,+5,equalized,ear,head,0,noise,virtual,
3,5,W,kemar,none,calibrated,equalized,ear,head,0,noise,virtual,
3,6,X,kemar,none,calibrated,none,ear,head,0,noise,virtual,
3,7,Y,kemar,none,+5,equalized,ear,head,0,noise,virtual,
3,8,Z,kemar,none,+5,none,ear,head,0,noise,virtual,
3,9,AA,none,calibrated,calibrated,equalized,ear,head,0,noise,virtual,
4,1,BB,none,calibrated,+5,equalized,ear,head,0,noise,virtual,
4,2,CC,none,calibrated,+5,none,ear,head,0,noise,virtual,
4,3,DD,none,large,calibrated,equalized,ear,head,0,noise,virtual,
4,4,EE,none,large,calibrated,none,ear,head,0,noise,virtual,
4,5,FF,none,large,+5,equalized,ear,head,0,noise,virtual,
4,6,GG,none,large,+5,none,ear,head,0,noise,virtual,
4,7,HH,none,none,calibrated,equalized,ear,head,0,noise,virtual,
4,8,JJ,none,none,+5,equalized,ear,head,0,noise,virtual,
4,9,KK,none,none,+5,none,ear,head,0,noise,virtual,
