page, condition,name, HRTF, Reverb, SampleVolume, HeadPhoneEQ,EarTrack, HeadTrack, SamplePos,SourceType, Real, name,
1,1,A,kemar,calibrated,calibrated,equalized,ear,head,0,voice,virtual,H,
1,2,B,none,calibrated,calibrated,equalized,ear,head,0,voice,virtual,AA,
1,3,C,personal,calibrated,calibrated,equalized,ear,head,0,voice,virtual,A,
1,4,D,kemar,large,calibrated,equalized,ear,head,0,voice,virtual,T,
1,5,E,none,large,calibrated,equalized,ear,head,0,voice,virtual,DD,
1,6,F,personal,large,calibrated,equalized,ear,head,0,voice,virtual,G,
1,7,G,kemar,none,calibrated,equalized,ear,head,0,voice,virtual,W,
1,8,H,none,none,calibrated,equalized,ear,head,0,voice,virtual,HH,
1,9,I,personal,none,calibrated,equalized,ear,head,0,voice,virtual,C,
2,1,J,kemar,calibrated,calibrated,none,ear,head,0,voice,virtual,Q,
2,2,K,none,calibrated,calibrated,none,ear,head,0,voice,virtual,B,
2,3,L,personal,calibrated,calibrated,none,ear,head,0,voice,virtual,J,
2,4,M,kemar,large,calibrated,none,ear,head,0,voice,virtual,U,
2,5,N,none,large,calibrated,none,ear,head,0,voice,virtual,EE,
2,6,O,personal,large,calibrated,none,ear,head,0,voice,virtual,K,
2,7,P,kemar,none,calibrated,none,ear,head,0,voice,virtual,X,
2,8,Q,none,none,calibrated,none,ear,head,0,voice,virtual,F,
2,9,R,personal,none,calibrated,none,ear,head,0,voice,virtual,N,
3,1,S,kemar,calibrated,+5,equalized,ear,head,0,voice,virtual,R,
3,2,T,none,calibrated,+5,equalized,ear,head,0,voice,virtual,BB,
3,3,U,personal,calibrated,+5,equalized,ear,head,0,voice,virtual,D,
3,4,V,kemar,large,+5,equalized,ear,head,0,voice,virtual,V,
3,5,W,none,large,+5,equalized,ear,head,0,voice,virtual,FF,
3,6,X,personal,large,+5,equalized,ear,head,0,voice,virtual,L,
3,7,Y,kemar,none,+5,equalized,ear,head,0,voice,virtual,Y,
3,8,Z,none,none,+5,equalized,ear,head,0,voice,virtual,JJ,
3,9,AA,personal,none,+5,equalized,ear,head,0,voice,virtual,O,
4,1,BB,kemar,calibrated,+5,none,ear,head,0,voice,virtual,S,
4,2,CC,none,calibrated,+5,none,ear,head,0,voice,virtual,CC,
4,3,DD,personal,calibrated,+5,none,ear,head,0,voice,virtual,I,
4,4,EE,kemar,large,+5,none,ear,head,0,voice,virtual,E,
4,5,FF,none,large,+5,none,ear,head,0,voice,virtual,GG,
4,6,GG,personal,large,+5,none,ear,head,0,voice,virtual,M,
4,7,HH,kemar,none,+5,none,ear,head,0,voice,virtual,Z,
4,8,II,none,none,+5,none,ear,head,0,voice,virtual,KK,
4,9,JJ,personal,none,+5,none,ear,head,0,voice,virtual,P,
